Symbol;Popis;Burza;Url
WH2013;Wheat Futures, March 2013, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2013.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2013;Wheat Futures, May 2013, WK2013, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2013.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2013;Wheat Futures, July 2013, WN2013, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2013.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2013;Wheat Futures, September 2013, WU2013, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2013.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2013;Wheat Futures, December 2013, WZ2013, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2013.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2012;Wheat Futures, March 2012, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2012.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2012;Wheat Futures, May 2012, WK2012, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2012.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2012;Wheat Futures, July 2012, WN2012, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2012.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2012;Wheat Futures, September 2012, WU2012, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2012.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2012;Wheat Futures, December 2012, WZ2012, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2012.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2011;Wheat Futures, March 2011, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2011.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2011;Wheat Futures, May 2011, WK2011, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2011.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2011;Wheat Futures, July 2011, WN2011, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2011.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2011;Wheat Futures, September 2011, WU2011, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2011.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2011;Wheat Futures, December 2011, WZ2011, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2011.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2010;Wheat Futures, March 2010, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2010.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2010;Wheat Futures, May 2010, WK2010, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2010.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2010;Wheat Futures, July 2010, WN2010, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2010.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2010;Wheat Futures, September 2010, WU2010, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2010.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2010;Wheat Futures, December 2010, WZ2010, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2010.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2009;Wheat Futures, March 2009, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2009.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2009;Wheat Futures, May 2009, WK2009, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2009.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2009;Wheat Futures, July 2009, WN2009, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2009.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2009;Wheat Futures, September 2009, WU2009, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2009.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2009;Wheat Futures, December 2009, WZ2009, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2009.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2008;Wheat Futures, March 2008, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2008.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2008;Wheat Futures, May 2008, WK2008, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2008.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2008;Wheat Futures, July 2008, WN2008, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2008.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2008;Wheat Futures, September 2008, WU2008, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2008.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2008;Wheat Futures, December 2008, WZ2008, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2008.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2007;Wheat Futures, March 2007, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2007.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2007;Wheat Futures, May 2007, WK2007, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2007.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2007;Wheat Futures, July 2007, WN2007, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2007.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2007;Wheat Futures, September 2007, WU2007, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2007.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2007;Wheat Futures, December 2007, WZ2007, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2007.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2006;Wheat Futures, March 2006, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2006.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2006;Wheat Futures, May 2006, WK2006, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2006.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2006;Wheat Futures, July 2006, WN2006, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2006.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2006;Wheat Futures, September 2006, WU2006, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2006.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2006;Wheat Futures, December 2006, WZ2006, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2006.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2005;Wheat Futures, March 2005, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2005.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2005;Wheat Futures, May 2005, WK2005, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2005.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2005;Wheat Futures, July 2005, WN2005, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2005.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2005;Wheat Futures, September 2005, WU2005, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2005.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2005;Wheat Futures, December 2005, WZ2005, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2005.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2004;Wheat Futures, March 2004, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2004.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2004;Wheat Futures, May 2004, WK2004, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2004.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2004;Wheat Futures, July 2004, WN2004, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2004.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2004;Wheat Futures, September 2004, WU2004, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2004.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2004;Wheat Futures, December 2004, WZ2004, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2004.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2003;Wheat Futures, March 2003, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2003.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2003;Wheat Futures, May 2003, WK2003, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2003.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2003;Wheat Futures, July 2003, WN2003, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2003.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2003;Wheat Futures, September 2003, WU2003, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2003.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2003;Wheat Futures, December 2003, WZ2003, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2003.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2002;Wheat Futures, March 2002, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2002.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2002;Wheat Futures, May 2002, WK2002, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2002.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2002;Wheat Futures, July 2002, WN2002, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2002.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2002;Wheat Futures, September 2002, WU2002, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2002.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2002;Wheat Futures, December 2002, WZ2002, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2002.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2001;Wheat Futures, March 2001, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2001.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2001;Wheat Futures, May 2001, WK2001, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2001.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2001;Wheat Futures, July 2001, WN2001, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2001.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2001;Wheat Futures, September 2001, WU2001, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2001.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2001;Wheat Futures, December 2001, WZ2001, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2001.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2000;Wheat Futures, March 2000, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2000.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2000;Wheat Futures, May 2000, WK2000, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2000.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2000;Wheat Futures, July 2000, WN2000, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2000.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2000;Wheat Futures, September 2000, WU2000, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2000.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2000;Wheat Futures, December 2000, WZ2000, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2000.xml?auth_token=UqHLDQVcxZy5AknRTZX9
